rutaImagen,nombreArchivo,clase,extension,tamanoBytes,valida,error,idImagen
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (123).JPG,Corn_Gray_Spot (123).JPG,Bercak Daun,.jpg,12833,True,,27
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (124).JPG,Corn_Gray_Spot (124).JPG,Bercak Daun,.jpg,18410,True,,28
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (125).jpg,Corn_Gray_Spot (125).jpg,Bercak Daun,.jpg,19958,True,,29
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (126).JPG,Corn_Gray_Spot (126).JPG,Bercak Daun,.jpg,18042,True,,30
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (127).JPG,Corn_Gray_Spot (127).JPG,Bercak Daun,.jpg,9131,True,,31
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (128).JPG,Corn_Gray_Spot (128).JPG,Bercak Daun,.jpg,17547,True,,32
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (129).JPG,Corn_Gray_Spot (129).JPG,Bercak Daun,.jpg,9937,True,,33
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (13).jpg,Corn_Gray_Spot (13).jpg,Bercak Daun,.jpg,134442,True,,34
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (130).JPG,Corn_Gray_Spot (130).JPG,Bercak Daun,.jpg,16071,True,,35
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (131).JPG,Corn_Gray_Spot (131).JPG,Bercak Daun,.jpg,20461,True,,36
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (132).jpg,Corn_Gray_Spot (132).jpg,Bercak Daun,.jpg,15774,True,,37
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (133).JPG,Corn_Gray_Spot (133).JPG,Bercak Daun,.jpg,14299,True,,38
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (134).JPG,Corn_Gray_Spot (134).JPG,Bercak Daun,.jpg,15388,True,,39
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (135).JPG,Corn_Gray_Spot (135).JPG,Bercak Daun,.jpg,14084,True,,40
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (136).JPG,Corn_Gray_Spot (136).JPG,Bercak Daun,.jpg,20117,True,,41
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (137).JPG,Corn_Gray_Spot (137).JPG,Bercak Daun,.jpg,17013,True,,42
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (138).JPG,Corn_Gray_Spot (138).JPG,Bercak Daun,.jpg,17651,True,,43
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (139).JPG,Corn_Gray_Spot (139).JPG,Bercak Daun,.jpg,11843,True,,44
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (14).jpg,Corn_Gray_Spot (14).jpg,Bercak Daun,.jpg,320765,True,,45
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (140).JPG,Corn_Gray_Spot (140).JPG,Bercak Daun,.jpg,15564,True,,46
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (141).JPG,Corn_Gray_Spot (141).JPG,Bercak Daun,.jpg,15286,True,,47
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (142).JPG,Corn_Gray_Spot (142).JPG,Bercak Daun,.jpg,13871,True,,48
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (143).JPG,Corn_Gray_Spot (143).JPG,Bercak Daun,.jpg,13771,True,,49
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (144).JPG,Corn_Gray_Spot (144).JPG,Bercak Daun,.jpg,13795,True,,50
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (145).JPG,Corn_Gray_Spot (145).JPG,Bercak Daun,.jpg,20563,True,,51
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (146).JPG,Corn_Gray_Spot (146).JPG,Bercak Daun,.jpg,17036,True,,52
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (147).jpg,Corn_Gray_Spot (147).jpg,Bercak Daun,.jpg,18869,True,,53
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (148).JPG,Corn_Gray_Spot (148).JPG,Bercak Daun,.jpg,20350,True,,54
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (149).JPG,Corn_Gray_Spot (149).JPG,Bercak Daun,.jpg,18332,True,,55
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (15).jpg,Corn_Gray_Spot (15).jpg,Bercak Daun,.jpg,40107,True,,56
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (150).JPG,Corn_Gray_Spot (150).JPG,Bercak Daun,.jpg,18003,True,,57
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (151).jpg,Corn_Gray_Spot (151).jpg,Bercak Daun,.jpg,16237,True,,58
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (152).JPG,Corn_Gray_Spot (152).JPG,Bercak Daun,.jpg,17351,True,,59
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (153).JPG,Corn_Gray_Spot (153).JPG,Bercak Daun,.jpg,18141,True,,60
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (154).JPG,Corn_Gray_Spot (154).JPG,Bercak Daun,.jpg,17398,True,,61
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (155).JPG,Corn_Gray_Spot (155).JPG,Bercak Daun,.jpg,15868,True,,62
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (156).JPG,Corn_Gray_Spot (156).JPG,Bercak Daun,.jpg,15519,True,,63
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (157).jpg,Corn_Gray_Spot (157).jpg,Bercak Daun,.jpg,9166,True,,64
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (158).JPG,Corn_Gray_Spot (158).JPG,Bercak Daun,.jpg,14885,True,,65
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (159).JPG,Corn_Gray_Spot (159).JPG,Bercak Daun,.jpg,18958,True,,66
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (16).jpg,Corn_Gray_Spot (16).jpg,Bercak Daun,.jpg,76096,True,,67
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (160).JPG,Corn_Gray_Spot (160).JPG,Bercak Daun,.jpg,12983,True,,68
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (161).JPG,Corn_Gray_Spot (161).JPG,Bercak Daun,.jpg,16932,True,,69
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (162).JPG,Corn_Gray_Spot (162).JPG,Bercak Daun,.jpg,15346,True,,70
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (163).JPG,Corn_Gray_Spot (163).JPG,Bercak Daun,.jpg,21406,True,,71
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (164).JPG,Corn_Gray_Spot (164).JPG,Bercak Daun,.jpg,14521,True,,72
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (165).JPG,Corn_Gray_Spot (165).JPG,Bercak Daun,.jpg,16657,True,,73
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (166).JPG,Corn_Gray_Spot (166).JPG,Bercak Daun,.jpg,19657,True,,74
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (167).JPG,Corn_Gray_Spot (167).JPG,Bercak Daun,.jpg,15096,True,,75
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (168).JPG,Corn_Gray_Spot (168).JPG,Bercak Daun,.jpg,16427,True,,76
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (169).JPG,Corn_Gray_Spot (169).JPG,Bercak Daun,.jpg,14662,True,,77
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (17).jpg,Corn_Gray_Spot (17).jpg,Bercak Daun,.jpg,228137,True,,78
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (170).JPG,Corn_Gray_Spot (170).JPG,Bercak Daun,.jpg,15244,True,,79
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (171).JPG,Corn_Gray_Spot (171).JPG,Bercak Daun,.jpg,8979,True,,80
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (172).JPG,Corn_Gray_Spot (172).JPG,Bercak Daun,.jpg,13891,True,,81
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (173).JPG,Corn_Gray_Spot (173).JPG,Bercak Daun,.jpg,21185,True,,82
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (174).jpg,Corn_Gray_Spot (174).jpg,Bercak Daun,.jpg,19284,True,,83
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (175).jpg,Corn_Gray_Spot (175).jpg,Bercak Daun,.jpg,14436,True,,84
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (176).JPG,Corn_Gray_Spot (176).JPG,Bercak Daun,.jpg,21971,True,,85
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (177).JPG,Corn_Gray_Spot (177).JPG,Bercak Daun,.jpg,15280,True,,86
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (178).JPG,Corn_Gray_Spot (178).JPG,Bercak Daun,.jpg,16037,True,,87
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (179).JPG,Corn_Gray_Spot (179).JPG,Bercak Daun,.jpg,20683,True,,88
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (18).jpg,Corn_Gray_Spot (18).jpg,Bercak Daun,.jpg,58838,True,,89
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (180).JPG,Corn_Gray_Spot (180).JPG,Bercak Daun,.jpg,11647,True,,90
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (181).JPG,Corn_Gray_Spot (181).JPG,Bercak Daun,.jpg,16523,True,,91
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (182).JPG,Corn_Gray_Spot (182).JPG,Bercak Daun,.jpg,16301,True,,92
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (183).JPG,Corn_Gray_Spot (183).JPG,Bercak Daun,.jpg,14415,True,,93
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (184).JPG,Corn_Gray_Spot (184).JPG,Bercak Daun,.jpg,12849,True,,94
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (185).JPG,Corn_Gray_Spot (185).JPG,Bercak Daun,.jpg,13248,True,,95
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (186).JPG,Corn_Gray_Spot (186).JPG,Bercak Daun,.jpg,15507,True,,96
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (187).JPG,Corn_Gray_Spot (187).JPG,Bercak Daun,.jpg,12442,True,,97
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (188).JPG,Corn_Gray_Spot (188).JPG,Bercak Daun,.jpg,17044,True,,98
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (189).JPG,Corn_Gray_Spot (189).JPG,Bercak Daun,.jpg,18798,True,,99
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (19).jpg,Corn_Gray_Spot (19).jpg,Bercak Daun,.jpg,652989,True,,100
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (190).JPG,Corn_Gray_Spot (190).JPG,Bercak Daun,.jpg,19632,True,,101
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (191).JPG,Corn_Gray_Spot (191).JPG,Bercak Daun,.jpg,13606,True,,102
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (192).JPG,Corn_Gray_Spot (192).JPG,Bercak Daun,.jpg,17079,True,,103
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (193).JPG,Corn_Gray_Spot (193).JPG,Bercak Daun,.jpg,13878,True,,104
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (194).JPG,Corn_Gray_Spot (194).JPG,Bercak Daun,.jpg,12940,True,,105
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (195).JPG,Corn_Gray_Spot (195).JPG,Bercak Daun,.jpg,18744,True,,106
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (196).JPG,Corn_Gray_Spot (196).JPG,Bercak Daun,.jpg,17497,True,,107
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (197).JPG,Corn_Gray_Spot (197).JPG,Bercak Daun,.jpg,17973,True,,108
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (198).JPG,Corn_Gray_Spot (198).JPG,Bercak Daun,.jpg,11478,True,,109
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (199).JPG,Corn_Gray_Spot (199).JPG,Bercak Daun,.jpg,12139,True,,110
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (2).jpg,Corn_Gray_Spot (2).jpg,Bercak Daun,.jpg,68561,True,,111
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (20).jpg,Corn_Gray_Spot (20).jpg,Bercak Daun,.jpg,16038,True,,112
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (200).JPG,Corn_Gray_Spot (200).JPG,Bercak Daun,.jpg,17809,True,,113
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (201).JPG,Corn_Gray_Spot (201).JPG,Bercak Daun,.jpg,16288,True,,114
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (202).JPG,Corn_Gray_Spot (202).JPG,Bercak Daun,.jpg,20295,True,,115
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (203).JPG,Corn_Gray_Spot (203).JPG,Bercak Daun,.jpg,14897,True,,116
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (204).JPG,Corn_Gray_Spot (204).JPG,Bercak Daun,.jpg,19407,True,,117
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (205).JPG,Corn_Gray_Spot (205).JPG,Bercak Daun,.jpg,12128,True,,118
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (206).JPG,Corn_Gray_Spot (206).JPG,Bercak Daun,.jpg,11242,True,,119
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (207).JPG,Corn_Gray_Spot (207).JPG,Bercak Daun,.jpg,15619,True,,120
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (208).JPG,Corn_Gray_Spot (208).JPG,Bercak Daun,.jpg,21607,True,,121
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (209).jpg,Corn_Gray_Spot (209).jpg,Bercak Daun,.jpg,13063,True,,122
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (21).jpg,Corn_Gray_Spot (21).jpg,Bercak Daun,.jpg,46505,True,,123
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (210).JPG,Corn_Gray_Spot (210).JPG,Bercak Daun,.jpg,13310,True,,124
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (211).JPG,Corn_Gray_Spot (211).JPG,Bercak Daun,.jpg,14356,True,,125
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (212).JPG,Corn_Gray_Spot (212).JPG,Bercak Daun,.jpg,14431,True,,126
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (213).jpg,Corn_Gray_Spot (213).jpg,Bercak Daun,.jpg,14781,True,,127
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (214).JPG,Corn_Gray_Spot (214).JPG,Bercak Daun,.jpg,14088,True,,128
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (215).jpg,Corn_Gray_Spot (215).jpg,Bercak Daun,.jpg,13573,True,,129
